date, pm25, o3, no2, so2, co
2024/2/27, 82, 54, , 3, 3
2024/2/28, 72, 66, , 3, 3
2024/2/29, 94, 67, , 3, 3
2024/3/1, 92, 49, , 3, 2
2024/3/2, 89, 49, , 2, 1
2024/3/3, 65, 44, , 2, 1
2024/3/4, 68, 42, , 2, 1
2024/3/5, 68, 43, , 3, 2
2024/3/6, 65, 48, , 4, 2
2024/3/7, 76, 46, , 3, 2
2024/3/8, 65, 44, , 2, 2
2024/3/9, 57, 50, , 2, 3
2024/3/10, 64, 50, , 2, 4
2024/3/11, 80, 46, , 1, 2
2024/3/12, 70, 45, , 1, 1
2024/3/13, 77, 57, , 1, 1
2024/3/14, 81, 51, , 1, 2
2024/3/15, 86, 43, , 1, 1
2024/3/16, 76, 42, , 1, 1
2024/3/17, 72, 36, , 1, 2
2024/3/18, 74, 41, , 1, 2
2024/3/19, 79, 43, , 1, 2
2024/3/20, 83, 42, , 1, 1
2024/3/21, 69, 41, , 1, 1
2024/3/22, 78, 39, , 1, 1
2024/3/23, 73, 43, , 1, 2
2024/3/24, 60, 38, , 1, 2
2024/3/25, 60, 45, , 1, 3
2024/3/26, 93, 57, , 1, 4
2023/10/10, 16, 15, , , 
2023/10/11, 17, 18, , , 
2023/10/12, 13, 21, , , 
2023/10/13, 19, 44, , , 
2023/10/14, 33, 41, , , 
2023/10/15, 46, 41, , , 
2023/10/16, 32, 43, , , 
2023/10/17, 10, 66, , , 
2023/10/18, 31, 82, , , 
2023/10/19, 40, 56, , , 
2023/10/20, 49, 59, , , 
2023/10/21, 56, 57, , , 
2023/10/22, 57, 41, , , 
2023/10/23, 42, 33, , , 
2023/10/24, 44, 35, , , 1
2023/10/25, 45, 17, , , 1
2023/10/26, 25, , , , 
2023/10/30, 56, 65, , , 
2023/10/31, 55, 17, , , 
2023/11/1, 26, , , , 
2023/11/14, 53, 64, , , 1
2023/11/15, 47, 64, , , 
2023/11/16, 50, 71, , , 
2023/11/17, 60, 79, , , 1
2023/11/18, 70, 88, , , 1
2023/11/19, 69, 68, , , 1
2023/11/20, 73, 48, , , 1
2023/11/21, 80, 48, , , 3
2023/11/22, 72, 34, , , 2
2023/11/23, 35, 21, , , 1
2023/11/24, 21, 25, , , 2
2023/11/25, 28, 39, , , 2
2023/11/26, 39, 27, , , 2
2023/11/27, 40, 64, , , 2
2023/11/28, 63, 78, , , 4
2023/11/29, 86, 50, , , 3
2023/11/30, 40, 29, , , 2
2023/12/1, 38, 32, , , 2
2023/12/2, 42, 32, , , 3
2023/12/3, 57, 31, , , 4
2023/12/4, 59, , , , 
2023/12/14, 72, 47, , , 
2023/12/15, 76, 64, , 1, 
2023/12/16, 99, 69, , 1, 
2023/12/17, 79, 70, , , 
2023/12/18, 79, 70, , 1, 
2023/12/19, 95, 66, , 1, 
2023/12/20, 90, 83, , 1, 
2023/12/21, 108, 86, , 1, 
2023/12/22, 126, 79, , 2, 
2023/12/23, 128, 64, , 2, 
2023/12/24, 121, 53, , 1, 
2023/12/25, 107, 39, , 1, 
2023/12/26, 97, 29, , , 
2023/12/27, 61, 30, , , 
2023/12/28, 67, 45, , , 
2023/12/29, 83, 41, , 1, 
2023/12/30, 83, 42, , , 
2023/12/31, 71, 43, , 1, 
2024/1/1, 70, 44, , , 
2023/7/6, 14, 51, , 1, 
2023/7/7, 44, 41, , 2, 
2023/7/8, 7, 38, , 1, 
2023/7/9, 9, 36, , 1, 
2023/7/10, 18, 46, , 1, 
2023/7/14, 22, 46, , 1, 
2023/7/15, 18, 39, , , 
2023/7/16, 37, 41, , , 
2023/7/17, 30, 56, , , 
2023/7/18, 23, 35, , , 
2023/7/19, 32, 56, , , 
2023/7/20, 28, 51, , , 
2023/8/2, 20, 53, , 10, 
2023/8/3, 16, 70, , 10, 
2023/8/4, 13, 45, , 10, 
2023/8/5, 13, 22, , 10, 
2023/8/6, 5, 33, , 10, 
2023/8/7, 9, 37, , 10, 
2023/8/8, 17, 43, , 10, 
2023/8/9, 18, 32, , 10, 
2023/8/26, 49, , , 2, 
2023/8/27, 48, , , 1, 
2023/8/28, 43, , , 1, 
2023/8/29, 53, , , 1, 
2023/8/30, 50, , , 1, 
2023/8/31, 47, , , 1, 
2023/5/4, 127, 66, , , 
2023/5/5, 113, 61, , , 
2023/5/6, 115, 69, , , 
2023/5/7, 113, 54, , , 
2023/5/8, 115, 83, , , 
2023/5/9, 104, 29, , , 
2023/5/10, 75, , , , 
2023/5/17, 69, 60, , , 
2023/5/18, 76, 70, , , 
2023/5/19, 87, 52, , , 
2023/5/20, 76, 74, , , 
2023/5/21, 87, 62, , , 
2023/5/22, 60, 67, , , 
2023/5/23, 68, 31, , , 
2023/5/24, 68, , , , 
2023/6/16, 50, 46, , , 
2023/6/17, 61, 44, , , 
2023/6/18, 54, 50, , 1, 
2023/6/19, 45, 55, , 1, 
2023/6/20, 37, , , , 
2023/1/3, 77, 33, , 1, 
2023/1/4, 68, 43, , 1, 
2023/1/5, 85, 49, , 2, 
2023/1/6, 94, 47, , 1, 
2023/1/7, 84, 43, , 1, 
2023/1/8, 97, 56, , 1, 
2023/1/9, 95, 48, , 1, 
2023/1/10, 100, 56, , 3, 
2023/1/11, 126, 47, , 1, 
2023/1/12, 107, 48, , 1, 
2023/1/13, 102, 54, , 1, 
2023/1/14, 81, 50, , 1, 
2023/1/15, 59, 26, , 1, 
2023/1/16, 88, 11, , 1, 
2023/1/17, 94, 1, , 1, 
2023/1/18, 101, , , 1, 
2023/1/19, 89, , , 1, 
2023/1/20, 101, , , 1, 
2023/1/21, 101, , , 1, 
2023/1/22, 83, , , , 
2023/1/23, 65, , , 1, 
2023/1/24, 74, , , 1, 
2023/1/25, 62, , , 1, 
2023/1/26, 71, , , 1, 
2023/1/27, 98, , , 1, 
2023/1/28, 64, , , 1, 
2023/1/29, 67, , , 2, 
2023/1/30, 94, , , 3, 
2023/1/31, 109, , , 1, 
2023/2/22, 38, 36, , , 
2023/2/23, 78, 46, , 1, 
2023/2/24, 94, 49, , 1, 
2023/2/25, 104, 44, , 1, 
2023/2/26, 99, 49, , 1, 
2023/2/27, 102, 47, , 2, 
2023/2/28, 103, 50, , 1, 
2023/3/1, 97, 46, , 2, 
2023/3/2, 93, 54, , 3, 
2023/3/3, 89, 47, , 2, 
2023/3/4, 78, 47, , 1, 
2023/3/5, 70, 50, , 1, 
2023/3/6, 85, 49, , 1, 
2023/3/7, 84, 48, , 1, 
2023/3/8, 75, 52, , 1, 
2023/3/9, 73, 50, , 1, 
2023/3/10, 71, 46, , 1, 
2023/3/11, 86, 52, , 1, 
2023/3/12, 64, 54, , 1, 
2023/3/13, 79, 67, , 1, 
2023/3/14, 69, 40, , 1, 
2023/3/15, 58, 57, , 1, 
2023/3/16, 78, 47, , 1, 
2023/3/17, 63, 48, , 1, 
2023/3/18, 61, 26, , , 
2023/3/19, 56, , , , 
2022/10/20, 21, 35, , , 11
2022/10/21, 25, 41, , , 5
2022/10/22, 27, 7, , , 5
2022/10/23, 38, , , , 
2022/11/2, 54, 50, , , 7
2022/11/3, 62, 60, , , 9
2022/11/4, 71, 11, , , 9
2022/11/5, 58, , , , 
2022/11/8, 66, 57, , , 10
2022/11/9, 62, 60, , , 9
2022/11/10, 54, 48, , , 10
2022/11/11, 58, 46, , , 10
2022/11/12, 70, 50, , , 10
2022/11/13, 75, 43, , , 10
2022/11/14, 71, 10, , , 11
2022/11/15, 59, , , , 
2022/11/26, 66, 39, , 1, 
2022/11/27, 71, 32, , , 
2022/11/28, 56, 39, , 1, 
2022/11/29, 67, 42, , 1, 
