date, pm10, o3
2022/1/30, 43, 
2022/1/31, 18, 
2022/2/1, 30, 
2022/2/2, 97, 28
2022/2/3, 40, 27
2022/2/4, 34, 27
2022/2/5, 28, 33
2022/2/6, 37, 26
2022/2/7, 27, 25
2022/2/8, 25, 31
2022/2/9, 25, 30
2022/2/10, 40, 28
2022/2/11, 35, 28
2022/2/12, 32, 28
2022/2/13, 35, 31
2022/2/14, 30, 30
2022/2/15, 30, 34
2022/2/16, 33, 27
2022/2/17, 30, 22
2022/2/18, 26, 14
2022/2/19, 40, 3
2022/2/20, 49, 2
2022/2/21, 41, 1
2022/2/22, 40, 
2022/2/23, 31, 
2022/2/24, 42, 
2022/2/25, 50, 
2022/2/26, 49, 
2022/2/27, 49, 
2022/2/28, 43, 37
2022/3/1, 46, 36
2022/3/2, 48, 34
2022/3/3, 47, 43
2022/3/4, 50, 42
2022/3/5, 47, 11
2022/3/6, 52, 
2022/3/11, 31, 33
2022/3/12, 26, 40
2022/3/13, 46, 30
2022/3/14, 35, 37
2022/3/15, 37, 38
2022/3/16, 43, 34
2022/3/17, 42, 34
2022/3/18, 40, 36
2022/3/19, 33, 35
2022/3/20, 45, 28
2022/3/21, 32, 32
2022/3/22, 39, 34
2022/3/23, 45, 34
2022/3/24, 45, 37
2022/3/25, 46, 41
2022/3/26, 49, 45
2022/3/27, 51, 35
2022/3/28, 47, 45
2022/3/29, 43, 46
2022/3/30, 50, 31
2022/3/31, 40, 42
2022/4/1, 40, 42
2021/11/5, 32, 40
2021/11/6, 36, 41
2021/11/7, 36, 43
2021/11/8, 29, 44
2021/11/9, 32, 49
2021/11/10, 39, 48
2021/11/11, 68, 61
2021/11/12, 44, 45
2021/11/13, 41, 34
2021/11/14, 30, 39
2021/11/15, 16, 
2021/11/20, 36, 
2021/11/22, 23, 
2021/11/24, 37, 
2021/11/25, 21, 
2021/11/26, 36, 
2021/11/27, 46, 
2021/11/28, 35, 
2021/11/29, 30, 
2021/11/30, 42, 
2021/12/1, 42, 
2021/12/2, 43, 31
2021/12/3, 37, 35
2021/12/4, 36, 41
2021/12/5, 47, 39
2021/12/6, 26, 49
2021/12/7, 47, 54
2021/12/8, 42, 43
2021/12/9, 41, 37
2021/12/10, 30, 39
2021/12/11, 38, 43
2021/12/12, 43, 35
2021/12/13, 51, 59
2021/12/14, 63, 49
2021/12/15, 43, 33
2021/12/16, 39, 31
2021/12/17, 64, 51
2021/12/18, 51, 39
2021/12/19, 45, 16
2021/12/20, 34, 29
2021/12/21, 18, 39
2021/12/22, 26, 55
2021/12/23, 45, 95
2021/12/24, 45, 
2021/12/26, 53, 18
2021/12/27, 44, 40
2021/12/28, 40, 39
2021/12/29, 37, 37
2021/12/30, 34, 46
2021/12/31, 45, 33
2022/1/1, 32, 30
2022/1/2, 26, 38
2022/1/3, 33, 38
2021/7/2, 12, 31
2021/7/3, 13, 26
2021/7/4, 14, 27
2021/7/5, 10, 29
2021/7/6, 13, 24
2021/7/7, 14, 32
2021/7/8, 10, 30
2021/7/9, 9, 29
2021/7/10, 21, 34
2021/7/11, 12, 39
2021/7/12, 9, 34
2021/7/13, 20, 28
2021/7/14, 12, 
2021/7/22, 22, 39
2021/7/23, 13, 45
2021/7/24, 25, 45
2021/7/25, 23, 39
2021/7/26, 33, 52
2021/7/27, 30, 47
2021/7/28, 18, 40
2021/7/29, 17, 35
2021/7/30, 19, 
2021/8/1, 19, 40
2021/8/2, 24, 37
2021/8/3, 18, 34
2021/8/4, 22, 
2021/8/6, 15, 36
2021/8/7, 13, 39
2021/8/8, 18, 31
2021/8/9, 12, 37
2021/8/10, 13, 
2021/8/18, 20, 42
2021/8/19, 20, 93
2021/8/20, 21, 80
2021/8/21, 21, 
2021/8/22, 12, 
2021/8/23, 11, 
2021/8/24, 23, 
2021/8/25, 29, 
2021/8/26, 31, 
2021/8/27, 35, 
2021/8/28, 41, 
2021/8/29, 20, 
2021/8/30, 10, 
2021/8/31, 12, 
2021/9/1, 13, 
2021/9/2, 11, 
2021/9/3, 14, 
2021/9/4, 10, 
2021/9/5, 11, 
2021/9/6, 16, 
2021/9/7, 11, 
2021/9/8, 9, 
2021/9/9, 14, 
2021/9/10, 19, 
2021/9/11, 24, 
2021/9/12, 21, 
2021/9/13, 13, 
2021/9/14, 16, 
2021/9/15, 9, 
2021/9/16, 13, 
2021/9/17, 12, 
2021/9/18, 13, 
2021/9/19, 14, 
2021/9/20, 16, 
2021/4/2, 44, 32
2021/4/3, 19, 40
2021/4/4, 21, 44
2021/4/5, 25, 45
2021/4/6, 37, 48
2021/4/7, 21, 49
2021/4/8, 25, 54
2021/4/9, 41, 59
2021/4/10, 43, 45
2021/4/11, 33, 27
2021/4/12, 35, 47
2021/4/13, 44, 46
2021/4/14, 38, 52
2021/4/15, 37, 57
2021/4/16, 43, 52
2021/4/17, 46, 45
2021/4/18, 55, 46
2021/4/19, 36, 42
2021/4/20, 41, 42
2021/4/21, 34, 48
2021/4/22, 44, 35
2021/4/23, 45, 39
2021/4/24, 46, 32
2021/4/25, 30, 50
2021/4/26, 49, 57
2021/4/27, 51, 44
2021/4/28, 50, 46
2021/4/29, 45, 47
2021/4/30, 43, 43
2021/5/1, 39, 36
2021/5/2, 36, 46
2021/5/3, 25, 42
2021/5/4, 41, 53
2021/5/5, 49, 58
2021/5/6, 57, 54
2021/5/7, 31, 40
2021/5/8, 31, 
2021/5/15, 17, 55
2021/5/16, 15, 40
2021/5/17, 16, 54
2021/5/18, 27, 47
2021/5/19, 27, 49
2021/5/20, 28, 62
2021/5/21, 37, 70
2021/5/22, 37, 67
2021/5/23, 39, 62
2021/5/24, 37, 55
2021/5/25, 33, 61
2021/5/26, 42, 53
2021/5/27, 39, 57
2021/5/28, 31, 61
2021/5/29, 42, 58
2021/5/30, 46, 59
2021/5/31, 38, 55
2021/6/1, 33, 56
2021/6/2, 24, 41
2021/6/3, 11, 44
2021/6/4, 9, 42
2021/6/5, 10, 61
2021/6/6, 17, 60
2021/6/7, 18, 57
2021/6/8, 28, 55
2021/6/9, 31, 55
2021/6/10, 31, 40
2021/6/11, 38, 40
2021/6/12, 24, 35
2021/6/13, 23, 21
2021/6/14, 9, 23
2021/6/15, 13, 40
2021/6/16, 22, 41
2021/6/17, 23, 37
2021/6/18, 43, 34
2021/6/19, 19, 14
2021/6/20, 11, 31
2021/6/21, 8, 36
2021/6/22, 14, 28
2021/6/23, 16, 39
2021/6/24, 27, 39
2021/6/25, 15, 36
2021/6/26, 13, 29
2021/6/27, 16, 20
2021/6/28, 9, 22
2021/6/29, 11, 25
2021/6/30, 10, 32
2021/7/1, 12, 26
2021/1/5, 56, 44
2021/1/6, 49, 34
2021/1/7, 35, 41
2021/1/8, 43, 37
2021/1/9, 47, 28
2021/1/10, 39, 35
2021/1/11, 17, 31
2021/1/12, 25, 29
2021/1/13, 21, 30
2021/1/14, 25, 29
2021/1/15, 44, 26
2021/1/16, 39, 49
2021/1/17, 40, 
2021/1/19, 41, 38
2021/1/20, 32, 40
2021/1/21, 35, 45
2021/1/22, 35, 38
2021/1/23, 27, 41
2021/1/24, 32, 36
2021/1/25, 30, 36
2021/1/26, 32, 38
2021/1/27, 37, 46
2021/1/28, 42, 
2021/1/30, 50, 48
2021/1/31, 50, 48
2021/2/1, 44, 38
2021/2/2, 33, 47
2021/2/3, 42, 51
2021/2/4, 43, 55
2021/2/5, 48, 52
2021/2/6, 40, 39
2021/2/7, 36, 42
2021/2/8, 40, 45
2021/2/9, 36, 42
2021/2/10, 40, 34
2021/2/11, 36, 29
2021/2/12, 37, 27
2021/2/13, 35, 40
2021/2/14, 28, 37
2021/2/15, 30, 40
2021/2/16, 28, 44
2021/2/17, 31, 38
2021/2/18, 29, 36
2021/2/19, 29, 56
2021/2/20, 45, 49
2021/2/21, 44, 58
2021/2/22, 46, 49
2021/2/23, 38, 45
2021/2/24, 41, 59
2021/2/25, 60, 43
2021/2/26, 42, 58
2021/2/27, 51, 64
2021/2/28, 48, 60
2021/3/1, 44, 51
2021/3/2, 46, 53
2021/3/3, 55, 55
2021/3/4, 47, 49
2021/3/5, 46, 49
2021/3/6, 39, 42
2021/3/7, 53, 38
2021/3/8, 40, 41
2021/3/9, 36, 44
2021/3/10, 38, 43
2021/3/11, 47, 53
2021/3/12, 47, 
2021/3/14, 54, 40
2021/3/15, 36, 40
2021/3/16, 39, 37
2021/3/17, 41, 36
2021/3/18, 29, 47
2021/3/19, 66, 49
2021/3/20, 52, 21
2021/3/21, 53, 
2021/3/23, 30, 32
2021/3/24, 31, 42
2021/3/25, 30, 42
2021/3/26, 31, 45
2021/3/27, 35, 56
2021/3/28, 42, 49
2021/3/29, 41, 43
2021/3/30, 51, 50
2021/3/31, 50, 61
2021/4/1, 52, 31
2020/10/2, 26, 33
2020/10/3, 28, 43
2020/10/4, 23, 17
2020/10/5, 29, 40
2020/10/6, 35, 45
2020/10/7, 33, 50
2020/10/8, 33, 45
2020/10/9, 37, 50
2020/10/10, 44, 52
2020/10/11, 41, 44
2020/10/12, 38, 45
2020/10/13, 34, 31
2020/10/14, 22, 34
2020/10/15, 27, 40
2020/10/16, 23, 32
2020/10/17, 24, 42
2020/10/18, 22, 40
2020/10/19, 27, 46
2020/10/20, 24, 49
2020/10/21, 19, 32
2020/10/22, 39, 43
2020/10/23, 34, 46
2020/10/24, 40, 38
2020/10/25, 33, 37
2020/10/26, 31, 52
2020/10/27, 33, 
2020/10/30, 41, 44
2020/10/31, 35, 42
2020/11/1, 35, 33
2020/11/2, 30, 33
2020/11/3, 32, 39
2020/11/4, 26, 44
2020/11/5, 27, 48
2020/11/6, 35, 45
2020/11/7, 33, 44
2020/11/8, 44, 38
2020/11/9, 36, 51
2020/11/10, 31, 44
2020/11/11, 36, 41
2020/11/12, 29, 48
2020/11/13, 35, 65
2020/11/14, 52, 47
2020/11/15, 43, 50
2020/11/16, 46, 26
2020/11/17, 27, 27
2020/11/18, 26, 32
2020/11/19, 23, 26
2020/11/20, 27, 11
2020/11/21, 49, 14
2020/11/22, 24, 17
2020/11/23, 28, 17
2020/11/24, 31, 23
2020/11/25, 44, 23
2020/11/26, 39, 29
2020/11/27, 47, 27
2020/11/28, 45, 29
2020/11/29, 41, 19
2020/11/30, 35, 17
2020/12/1, 47, 19
2020/12/2, 34, 20
2020/12/3, 32, 18
2020/12/4, 33, 10
2020/12/5, 20, 15
2020/12/6, 16, 
2020/12/8, 23, 21
2020/12/9, 43, 26
2020/12/10, 43, 35
2020/12/11, 39, 32
2020/12/12, 21, 35
2020/12/13, 24, 
2020/12/15, 27, 29
2020/12/16, 27, 27
2020/12/17, 18, 35
2020/12/18, 32, 33
2020/12/19, 31, 36
2020/12/20, 38, 46
2020/12/21, 43, 40
2020/12/22, 40, 41
2020/12/23, 36, 32
2020/12/24, 26, 33
2020/12/25, 39, 21
2020/12/26, 74, 27
2020/12/27, 18, 37
2020/12/28, 29, 42
2020/12/29, 46, 44
2020/12/30, 48, 34
2020/12/31, 45, 38
2021/1/1, 22, 36
2021/1/2, 40, 39
2021/1/3, 31, 37
2021/1/4, 46, 44
2020/7/2, 12, 
2020/7/3, 17, 
2020/7/4, 30, 
2020/7/5, 26, 
2020/7/6, 20, 
2020/7/7, 22, 
2020/7/8, 19, 
2020/7/9, 13, 8
2020/7/10, 12, 22
2020/7/11, 8, 20
2020/7/12, 17, 20
2020/7/13, 13, 26
2020/7/14, 15, 30
2020/7/15, 22, 23
2020/7/16, 29, 27
2020/7/17, 23, 24
2020/7/18, 38, 26
2020/7/19, 30, 15
2020/7/20, 11, 25
2020/7/21, 19, 22
2020/7/22, 19, 24
2020/7/23, 21, 26
2020/7/24, 16, 23
2020/7/25, 19, 19
2020/7/26, 18, 19
2020/7/27, 12, 13
2020/7/28, 9, 21
2020/7/29, 18, 13
2020/7/30, 23, 15
2020/7/31, 10, 17
2020/8/1, 19, 14
2020/8/2, 13, 16
2020/8/3, 14, 13
2020/8/4, 11, 20
2020/8/5, 20, 18
2020/8/6, 21, 16
2020/8/7, 22, 19
2020/8/8, 20, 12
2020/8/9, 20, 8
2020/8/10, 10, 13
2020/8/11, 9, 14
2020/8/12, 14, 14
2020/8/13, 19, 18
2020/8/14, 14, 18
2020/8/15, 14, 18
2020/8/16, 16, 16
2020/8/17, 13, 13
2020/8/18, 21, 13
2020/8/19, 13, 12
2020/8/20, 10, 17
2020/8/21, 14, 17
2020/8/22, 20, 21
2020/8/23, 22, 17
2020/8/24, 20, 18
2020/8/25, 21, 12
2020/8/26, 15, 11
2020/8/27, 14, 8
2020/8/28, 11, 8
2020/8/29, 7, 14
2020/8/30, 13, 12
2020/8/31, 12, 10
2020/9/1, 14, 17
2020/9/2, 13, 15
2020/9/3, 13, 20
2020/9/4, 20, 11
2020/9/5, 22, 10
2020/9/6, 12, 10
2020/9/7, 7, 14
2020/9/8, 12, 13
2020/9/9, 11, 16
2020/9/10, 11, 11
2020/9/11, 10, 12
2020/9/12, 14, 18
2020/9/13, 14, 14
2020/9/14, 13, 18
2020/9/15, 18, 29
2020/9/16, 12, 29
2020/9/17, 12, 31
2020/9/18, 12, 32
2020/9/19, 15, 17
2020/9/20, 17, 35
2020/9/21, 17, 33
2020/9/22, 15, 31
2020/9/23, 15, 40
2020/9/24, 23, 42
2020/9/25, 28, 45
2020/9/26, 26, 49
2020/9/27, 26, 43
2020/9/28, 26, 39
2020/9/29, 29, 30
2020/9/30, 28, 41
2020/10/1, 27, 43
2020/4/2, 37, 45
2020/4/3, 30, 45
2020/4/4, 44, 39
2020/4/5, 34, 35
2020/4/6, 29, 33
2020/4/7, 33, 35
2020/4/8, 29, 40
2020/4/9, 31, 40
2020/4/10, 31, 37
2020/4/11, 26, 36
2020/4/12, 29, 37
2020/4/13, 22, 59
2020/4/14, 26, 51
2020/4/15, 33, 40
2020/4/16, 32, 41
2020/4/17, 34, 43
2020/4/18, 45, 46
2020/4/19, 41, 44
2020/4/20, 28, 42
2020/4/21, 28, 52
2020/4/22, 36, 51
2020/4/23, 36, 47
2020/4/24, 33, 66
2020/4/25, 33, 49
2020/4/26, 41, 48
2020/4/27, 45, 53
2020/4/28, 30, 47
2020/4/29, 27, 53
2020/4/30, 31, 48
2020/5/1, 29, 
2020/5/5, 44, 46
2020/5/6, 20, 48
2020/5/7, 18, 50
2020/5/8, 17, 33
2020/5/9, 11, 
2020/5/11, 16, 29
2020/5/12, 12, 72
2020/5/13, 20, 52
2020/5/14, 33, 52
2020/5/15, 29, 34
2020/5/16, 34, 
2020/5/18, 22, 54
2020/5/19, 40, 63
2020/5/20, 48, 43
2020/5/21, 37, 38
2020/5/22, 27, 45
2020/5/23, 19, 45
2020/5/24, 25, 57
2020/5/25, 21, 90
2020/5/26, 33, 60
2020/5/27, 36, 60
2020/5/28, 40, 63
2020/5/29, 40, 45
2020/5/30, 29, 43
2020/5/31, 19, 46
2020/6/1, 23, 52
2020/6/2, 21, 46
2020/6/3, 22, 42
2020/6/4, 20, 43
2020/6/5, 25, 48
2020/6/6, 25, 42
2020/6/7, 24, 42
2020/6/8, 22, 41
2020/6/9, 19, 
2020/6/11, 17, 35
2020/6/12, 19, 30
2020/6/13, 13, 55
2020/6/14, 25, 53
2020/6/15, 24, 56
2020/6/16, 24, 49
2020/6/17, 22, 48
2020/6/18, 26, 46
2020/6/19, 29, 45
2020/6/20, 19, 29
2020/6/21, 14, 
2020/6/26, 15, 
2020/6/27, 14, 
2020/6/28, 20, 
2020/6/29, 27, 
2020/6/30, 16, 
2020/7/1, 15, 
2020/1/2, 38, 23
2020/1/3, 10, 35
2020/1/4, 12, 39
2020/1/5, 16, 45
2020/1/6, 23, 51
2020/1/7, 30, 37
2020/1/8, 35, 41
2020/1/9, 39, 54
2020/1/10, 35, 33
2020/1/11, 27, 40
2020/1/12, 40, 39
2020/1/13, 46, 52
2020/1/14, 39, 43
2020/1/15, 45, 43
2020/1/16, 45, 38
2020/1/17, 53, 37
2020/1/18, 32, 42
2020/1/19, 37, 29
2020/1/20, 33, 32
2020/1/21, 13, 36
2020/1/22, 24, 34
2020/1/23, 36, 24
2020/1/24, 31, 43
2020/1/25, 33, 23
2020/1/26, 18, 22
2020/1/27, 16, 33
2020/1/28, 17, 45
2020/1/29, 26, 40
2020/1/30, 32, 30
2020/1/31, 29, 34
2020/2/1, 22, 40
2020/2/2, 33, 31
