date, pm25, o3, no2, so2, co
2025/3/9, 49, 7, , , 24
2025/3/10, 51, 15, , , 24
2025/3/11, 39, 17, , , 24
2025/3/12, 29, 11, , , 25
2025/3/13, 39, 9, , , 25
2025/3/14, 48, 7, , , 25
2025/3/15, 54, 4, , , 24
2025/3/16, 47, 18, , , 25
2025/3/17, 67, 16, , , 24
2025/3/18, 30, 15, , , 24
2025/3/19, 31, 14, , , 24
2025/3/20, 36, 14, , , 25
2025/3/21, 40, 14, , , 24
2025/3/22, 36, 12, , , 24
2025/3/23, 42, 11, , , 25
2025/3/24, 44, 7, , , 25
2025/3/25, 64, 8, , , 25
2025/3/26, 47, 10, , , 25
2025/3/27, 54, 11, , , 25
2025/3/28, 50, 10, , , 25
2025/3/29, 55, 7, , , 25
2025/3/30, 51, 6, , , 25
2025/3/31, 44, 6, , , 25
2025/4/1, 51, 6, , , 25
2024/10/2, 32, 13, 5, , 21
2024/10/3, 27, 6, 5, , 21
2024/10/4, 40, 4, 5, , 21
2024/10/5, 31, 1, 3, , 20
2024/10/6, 19, 6, 3, , 21
2024/10/7, 42, 1, 2, , 21
2024/10/8, 35, , , , 
2024/10/11, 57, 30, 4, , 20
2024/10/12, 70, 29, 4, , 18
2024/10/13, 45, 31, 6, , 21
2024/10/14, 34, 15, 8, , 25
2024/10/15, 40, 18, 4, , 20
2024/10/16, 33, 17, 3, , 19
2024/10/17, 33, 29, 3, , 19
2024/10/18, 42, 24, 4, , 20
2024/10/19, 42, , 3, , 21
2024/10/20, 44, , 1, , 20
2024/10/21, 59, 1, 3, , 20
2024/10/22, 50, 22, 4, , 19
2024/10/23, 40, 22, 4, , 20
2024/10/24, 42, 25, 5, , 20
2024/10/25, 43, 25, 5, , 20
2024/10/26, 45, 19, 3, , 20
2024/10/27, 34, 22, 3, , 20
2024/10/28, 31, 24, 4, , 20
2024/10/29, 39, 20, 4, , 20
2024/10/30, 35, 12, 4, , 20
2024/10/31, 33, 10, 7, , 23
2024/11/1, 42, 17, 5, , 21
2024/11/2, 44, 22, 4, , 21
2024/11/3, 44, 21, 2, , 21
2024/11/4, 49, 18, 3, , 21
2024/11/5, 43, 20, 3, , 20
2024/11/6, 44, 25, 3, , 20
2024/11/7, 50, 14, 3, , 20
2024/11/8, 42, 12, 4, , 21
2024/11/9, 41, 12, 5, , 22
2024/11/10, 44, 14, 4, , 22
2024/11/11, 51, 11, 4, , 22
2024/11/12, 47, 13, 4, , 21
2024/11/13, 34, 13, 4, , 21
2024/11/14, 35, 10, 3, , 20
2024/11/15, 30, 9, 4, , 21
2024/11/16, 50, , , , 
2024/11/18, 48, 4, 1, , 21
2024/11/19, 42, 2, 3, , 22
2024/11/20, 44, 19, 4, , 22
2024/11/21, 27, 22, 4, , 21
2024/11/22, 37, 21, 6, , 21
